1681324375209578752,0.14263,0.01678,-0.01287,-0.48477,0.45911,-0.51160,0.54081
1681324375291054848,0.13898,0.00935,-0.01272,-0.48660,0.45825,-0.51084,0.54062
1681324375413268480,0.13394,0.00795,-0.01277,-0.48767,0.45620,-0.51022,0.54197
1681324375494744832,0.13119,0.00722,-0.01305,-0.48765,0.45419,-0.51018,0.54372
1681324375576221696,0.12412,0.00679,-0.01266,-0.48741,0.45219,-0.51001,0.54575
1681324375698435840,0.11810,0.00666,-0.01206,-0.48354,0.44620,-0.51282,0.55146
1681324375779911680,0.11529,0.00754,-0.01176,-0.47856,0.44103,-0.51590,0.55706
1681324375861388032,0.11035,0.00854,-0.01182,-0.47320,0.43571,-0.51914,0.56279
1681324375983601920,0.11820,0.01126,-0.01184,-0.46688,0.43413,-0.52386,0.56491
1681324376105816576,0.13723,0.01979,-0.01262,-0.47021,0.44709,-0.51975,0.55577
1681324376187292928,0.14836,0.02863,-0.01336,-0.47315,0.45813,-0.51478,0.54886
1681324376309506816,0.16554,0.04135,-0.01559,-0.47652,0.47470,-0.50740,0.53864
1681324376390982912,0.17555,0.04449,-0.01706,-0.47552,0.47979,-0.50705,0.53533
1681324376472458752,0.18387,0.04447,-0.01847,-0.47281,0.48132,-0.50931,0.53422
1681324376594672896,0.19806,0.04855,-0.02064,-0.47626,0.49266,-0.50572,0.52412
1681324376676148992,0.20836,0.05321,-0.02251,-0.48133,0.50369,-0.50015,0.51426
1681324376757625856,0.21730,0.05690,-0.02398,-0.48472,0.51283,-0.49577,0.50622
1681324376879839744,0.22915,0.05889,-0.02611,-0.48498,0.51983,-0.49458,0.49995
1681324377002053632,0.24005,0.05476,-0.02758,-0.48476,0.52293,-0.49663,0.49489
1681324377083529728,0.24687,0.05044,-0.02819,-0.48674,0.52555,-0.49708,0.48968
1681324377205743872,0.25715,0.04280,-0.02965,-0.48663,0.52723,-0.50055,0.48443
1681324377287219712,0.26290,0.03841,-0.02932,-0.48326,0.52494,-0.50543,0.48523
1681324377368695808,0.26701,0.03539,-0.02901,-0.48382,0.52579,-0.50629,0.48283
1681324377490910720,0.26639,0.02859,-0.02713,-0.48689,0.52494,-0.50701,0.47991
1681324377572386816,0.26332,0.02335,-0.02589,-0.49041,0.52368,-0.50676,0.47797
1681324377653862656,0.25866,0.01866,-0.02462,-0.49475,0.52298,-0.50548,0.47561
1681324377776076800,0.25257,0.01311,-0.02320,0.50209,-0.52353,0.50214,-0.47082
